Cluster,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,npxG,xAG,PrgC_standard,PrgP_standard,PrgR_standard,Gls_per90,Ast_per90,xG_per90,xAG_per90,SoT%,SoT/90,G/Sh,Dist,Total Cmp,Total Cmp%,TotDist_passing,Short Cmp%,Medium Cmp%,Long Cmp%,KP,1/3_passing,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_defense,Lost_defense,Blocks,Sh_defense,Pass_defense,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att (Take-Ons),Succ%,Tkld%,Carries,TotDist (Carries),PrgDist (Carries),PrgC_possession,1/3 (Carries),CPA,Mis,Dis,Rec,PrgR (Receiving),Fls,Fld,Off,Crs,Recov,Won,Lost_misc,Won%
0,34.493506493506494,17.0974025974026,1611.8636363636363,5.305194805194805,2.896103896103896,2.5324675324675323,0.05844155844155844,5.222727272727273,4.881168831168831,3.0779220779220777,46.27922077922078,55.72077922077922,111.40259740259741,0.29873376623376624,0.17935064935064934,0.2959090909090909,0.18035714285714285,37.25909090909091,0.8813311688311688,0.12090909090909091,16.364285714285714,423.0584415584416,73.42987012987014,6414.422077922078,83.21038961038961,75.06493506493507,53.38039215686275,26.116883116883116,32.01948051948052,19.461038961038962,4.383116883116883,55.72077922077922,55.714285714285715,3.272207792207792,6.266233766233766,0.38311688311688313,24.40909090909091,14.103896103896103,24.038961038961038,14.506493506493506,16.064935064935064,2.707792207792208,13.357142857142858,7.084415584415584,784.8766233766233,22.7987012987013,105.23376623376623,318.4415584415584,372.2142857142857,83.00649350649351,50.188311688311686,38.465584415584416,50.30064935064935,454.14935064935065,2704.62987012987,1346.0584415584415,46.27922077922078,26.83116883116883,21.40909090909091,43.15584415584416,28.915584415584416,541.0909090909091,111.40259740259741,21.59090909090909,21.68831168831169,6.14935064935065,41.47402597402598,66.25324675324676,21.40909090909091,34.25974025974026,34.69448051948052
1,19.825,15.56875,1392.328125,0.640625,0.84375,3.165625,0.103125,0.8109375,0.7959375,0.9,17.825,51.559375,27.51875,0.033468750000000005,0.0455625,0.052531249999999995,0.055874999999999994,24.919776119402986,0.15521875000000002,0.05347014925373134,16.961940298507464,642.7875,82.0996875,11343.165625,91.36749999999999,88.283125,54.9120253164557,9.28125,49.815625,8.059375,2.009375,51.559375,23.203125,1.50796875,2.23125,0.13459375,26.8375,16.096875,23.4875,10.5375,16.29375,6.828125,9.465625,13.49375,916.55,133.115625,368.715625,399.28125,155.746875,18.45625,15.684375,51.26725978647687,37.91886120996442,504.78125,2551.384375,1333.11875,17.825,13.9375,3.053125,12.421875,8.603125,584.390625,27.51875,14.690625,12.490625,1.009375,16.825,59.784375,18.85,14.8125,56.192332268370606
2,1251.5555555555557,796.4444444444445,72981.33333333333,92.44444444444444,56.888888888888886,234.66666666666666,21.333333333333332,102.4,96.71111111111112,68.97777777777779,1450.6666666666667,2979.5555555555557,1955.5555555555557,0.09222222222222223,0.07,0.2566666666666666,0.14222222222222222,39.638888888888886,1.0805555555555555,0.07333333333333333,17.194444444444443,33329.77777777778,80.82777777777778,610744.8888888889,90.17222222222222,84.52777777777777,57.388888888888886,640.0,3057.777777777778,597.3333333333334,163.55555555555554,2979.5555555555557,1656.888888888889,2.5966666666666667,106.66666666666667,0.11444444444444445,1173.3333333333333,718.2222222222222,1116.4444444444443,583.1111111111111,867.5555555555555,320.0,547.5555555555555,768.0,50339.555555555555,3996.4444444444443,17002.666666666668,23744.0,10197.333333333334,1585.7777777777778,1728.0,46.43888888888889,37.67777777777778,28366.222222222223,152661.33333333334,75413.33333333333,1450.6666666666667,1095.111111111111,398.22222222222223,981.3333333333334,881.7777777777778,34033.77777777778,1955.5555555555557,924.4444444444445,1002.6666666666666,85.33333333333333,1507.5555555555557,3676.4444444444443,1365.3333333333333,1244.4444444444443,50.32222222222222
3,1600.0,1024.0,91008.0,384.0,192.0,128.0,0.0,307.2,256.0,281.6,2688.0,2176.0,7744.0,0.39,0.25,0.39,0.325,42.05,0.92,0.155,17.9,23680.0,72.55,337920.0,85.3,71.25,43.0,1792.0,960.0,1600.0,640.0,2176.0,3584.0,4.08,256.0,0.35,1088.0,704.0,960.0,512.0,640.0,0.0,640.0,320.0,42688.0,320.0,3136.0,15808.0,24384.0,4096.0,3904.0,32.0,62.900000000000006,26880.0,165504.0,76736.0,2688.0,1856.0,1728.0,1408.0,448.0,31360.0,7744.0,576.0,640.0,512.0,3520.0,2432.0,384.0,960.0,26.4
